feature,importance
numeric__tenure_months,0.22513299008179405
numeric__days_since_last_login,0.1765355383826877
numeric__support_tickets_last_90d,0.1543151617786948
numeric__watch_hours_per_week,0.146294521094587
numeric__avg_rating,0.10282205159129104
numeric__age,0.07017939726245749
numeric__payment_failed_last_90d,0.066849243799524
categorical__plan_type_Monthly,0.05787109600896382
numeric__discount_used,0.0
numeric__monthly_fee,0.0
categorical__plan_type_Annual,0.0
categorical__device_type_Desktop,0.0
categorical__device_type_Mobile,0.0
categorical__device_type_TV,0.0
categorical__device_type_Tablet,0.0
categorical__region_Central,0.0
categorical__region_East,0.0
categorical__region_North,0.0
categorical__region_South,0.0
