threshold,accuracy,precision,recall,f1_score,roc_auc
0.5,0.7417,0.3614,0.7692,0.4918,0.8307
0.55,0.7667,0.3803,0.6923,0.4909,0.8307
0.75,0.85,0.5517,0.4103,0.4706,0.8307
0.35,0.6625,0.3158,0.9231,0.4706,0.8307
0.4,0.6833,0.3204,0.8462,0.4648,0.8307
0.65,0.8,0.4082,0.5128,0.4545,0.8307
0.6,0.7792,0.3793,0.5641,0.4536,0.8307
0.45,0.6958,0.3191,0.7692,0.4511,0.8307
0.3,0.6125,0.2891,0.9487,0.4431,0.8307
0.7,0.8208,0.4444,0.4103,0.4267,0.8307
0.25,0.5417,0.2585,0.9744,0.4086,0.8307
0.2,0.4875,0.2407,1.0,0.3881,0.8307
0.8,0.85,0.5789,0.2821,0.3793,0.8307
